number,title,type,state,author,url,created_at,updated_at,organization,repository,contributor
569,Add icechunk-based Zarr example,Issue,closed,kylebarron,https://github.com/developmentseed/deck.gl-raster/issues/569,2026-05-22T19:44:11Z,2026-05-27T21:01:00Z,developmentseed,deck.gl-raster,abarciauskas-bgse
570,Fix umbra http -> https link,Issue,closed,kylebarron,https://github.com/developmentseed/deck.gl-raster/issues/570,2026-05-26T16:50:11Z,2026-05-26T17:24:39Z,developmentseed,deck.gl-raster,kylebarron
591,Update examples to destroy user-created textures,Issue,closed,kylebarron,https://github.com/developmentseed/deck.gl-raster/issues/591,2026-06-04T21:21:31Z,2026-06-05T19:58:17Z,developmentseed,deck.gl-raster,kylebarron
592,Fix dynamical example,Issue,closed,kylebarron,https://github.com/developmentseed/deck.gl-raster/issues/592,2026-06-04T21:22:20Z,2026-06-05T21:10:41Z,developmentseed,deck.gl-raster,kylebarron
602,docs: Add git submodule install instructions,PR,closed,abarciauskas-bgse,https://github.com/developmentseed/deck.gl-raster/pull/602,2026-06-12T21:40:26Z,2026-06-15T17:07:13Z,developmentseed,deck.gl-raster,kylebarron
24,chore(main): release 0.1.1,PR,closed,ds-release-bot[bot],https://github.com/developmentseed/lazycogs/pull/24,2026-04-27T17:51:50Z,2026-04-27T18:01:20Z,developmentseed,lazycogs,hrodmn
26,Why have `open_async`?,Issue,closed,kylebarron,https://github.com/developmentseed/lazycogs/issues/26,2026-04-27T21:58:07Z,2026-04-29T14:07:30Z,developmentseed,lazycogs,hrodmn
36,Nodata values encoded in xarray?,Issue,closed,kylebarron,https://github.com/developmentseed/lazycogs/issues/36,2026-04-28T15:54:13Z,2026-05-26T17:20:29Z,developmentseed,lazycogs,hrodmn
48,Explore rasterix integration,Issue,closed,hrodmn,https://github.com/developmentseed/lazycogs/issues/48,2026-05-05T01:11:44Z,2026-05-07T02:18:06Z,developmentseed,lazycogs,hrodmn
64,Error during DataArray.copy,Issue,closed,lukesdm,https://github.com/developmentseed/lazycogs/issues/64,2026-06-01T11:38:19Z,2026-06-01T16:00:39Z,developmentseed,lazycogs,hrodmn
65,Avoid storing lazy runtime state in DataArray.attrs,Issue,closed,hrodmn,https://github.com/developmentseed/lazycogs/issues/65,2026-06-01T14:22:55Z,2026-06-01T14:35:19Z,developmentseed,lazycogs,hrodmn
68,dtype/nodata args not provided to _ChunkContext in explain path,Issue,closed,hrodmn,https://github.com/developmentseed/lazycogs/issues/68,2026-06-01T14:42:45Z,2026-06-01T14:58:04Z,developmentseed,lazycogs,hrodmn
70,Make lazycogs outputs rioxarray-ready without metadata repair,Issue,closed,hrodmn,https://github.com/developmentseed/lazycogs/issues/70,2026-06-01T15:18:54Z,2026-06-01T15:56:38Z,developmentseed,lazycogs,hrodmn
73,sub-daily (hourly) temporal grouping (PT1H) or time_period=None,Issue,closed,Berhinj,https://github.com/developmentseed/lazycogs/issues/73,2026-06-23T08:34:47Z,2026-06-29T07:39:31Z,developmentseed,lazycogs,hrodmn
76,Incorrect datetime filtering when start/end properties are present,Issue,closed,s-kganz,https://github.com/developmentseed/lazycogs/issues/76,2026-06-24T17:40:52Z,2026-06-29T16:58:42Z,developmentseed,lazycogs,hrodmn
1114,[BUG] H3HexagonLayer can fail for cells close to poles or antimeridian due to h3-py bug in viewport,Issue,closed,jorisvandenbossche,https://github.com/developmentseed/lonboard/issues/1114,2026-02-25T11:17:20Z,2026-05-31T22:49:22Z,developmentseed,lonboard,kylebarron
1201,adds a one-way fly_to_command traitlet enabling flyTo from JS,PR,closed,batpad,https://github.com/developmentseed/lonboard/pull/1201,2026-06-07T12:02:38Z,2026-06-09T11:23:33Z,developmentseed,lonboard,kylebarron
1203,Revamped pyodide support,Issue,closed,kylebarron,https://github.com/developmentseed/lonboard/issues/1203,2026-06-11T19:53:18Z,2026-06-12T17:22:57Z,developmentseed,lonboard,kylebarron
1403,move from httpx to httpx2,Issue,closed,vincentsarago,https://github.com/developmentseed/titiler/issues/1403,2026-05-28T08:35:56Z,2026-06-05T10:06:49Z,developmentseed,titiler,hrodmn
1432,titiler.xarray.io imports httpx but httpx is not listed as a dependency,Issue,closed,hrodmn,https://github.com/developmentseed/titiler/issues/1432,2026-06-18T01:21:43Z,2026-06-18T04:28:26Z,developmentseed,titiler,hrodmn
175,fix: avoid duplicating GranuleSearch params in timeseries requests,PR,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/pull/175,2026-05-05T17:25:04Z,2026-05-06T14:50:42Z,developmentseed,titiler-cmr,chuckwondo
176,chore: ci upgrades and security fixes,PR,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/pull/176,2026-05-08T13:43:32Z,2026-05-08T14:36:26Z,developmentseed,titiler-cmr,chuckwondo
177,chore: replace dynamic versioning with release-please,PR,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/pull/177,2026-05-08T15:08:43Z,2026-05-08T17:16:28Z,developmentseed,titiler-cmr,chuckwondo
178,fix: better async request handling in timeseries endpoints,PR,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/pull/178,2026-05-08T17:33:40Z,2026-05-19T14:30:26Z,developmentseed,titiler-cmr,chuckwondo
182,fix: upgrade dependencies,PR,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/pull/182,2026-05-29T10:50:36Z,2026-05-29T16:54:57Z,developmentseed,titiler-cmr,abarciauskas-bgse
185,Add group hints to the `/compatibility` endpoint for hierarchical xarray datasets,Issue,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/issues/185,2026-06-02T20:02:55Z,2026-06-09T15:27:07Z,developmentseed,titiler-cmr,abarciauskas-bgse
186,feat: add group inspection to compatibility endpoint,PR,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/pull/186,2026-06-03T02:27:48Z,2026-06-09T15:27:08Z,developmentseed,titiler-cmr,chuckwondo
188,fix: do not ignore case when parsing expressions,PR,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/pull/188,2026-06-08T11:48:48Z,2026-06-09T15:25:08Z,developmentseed,titiler-cmr,chuckwondo
193,chore: record httpx2 traffic with vcr-py,PR,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/pull/193,2026-06-09T18:24:32Z,2026-06-10T17:03:22Z,developmentseed,titiler-cmr,chuckwondo
197,ci: set default branch to main in deploy-dev action workflow,PR,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/pull/197,2026-06-17T14:56:44Z,2026-06-17T15:01:15Z,developmentseed,titiler-cmr,chuckwondo
198,fix: upgrade dependencies for security patches,PR,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/pull/198,2026-06-17T15:05:25Z,2026-06-17T15:54:36Z,developmentseed,titiler-cmr,chuckwondo
201,"fix: improve CMR query logging and error response, increase default timeout to 20s",PR,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/pull/201,2026-06-17T20:08:24Z,2026-06-17T20:55:56Z,developmentseed,titiler-cmr,chuckwondo
202,fix: install titiler 2.0.5 to avoid missing httpx dependency,PR,closed,hrodmn,https://github.com/developmentseed/titiler-cmr/pull/202,2026-06-18T01:22:48Z,2026-06-18T12:46:04Z,developmentseed,titiler-cmr,chuckwondo
48,Add documentation describing poor deserialization performance of vlen data.,Issue,closed,sharkinsspatial,https://github.com/developmentseed/zarr-datafusion-search/issues/48,2026-04-27T22:42:50Z,2026-04-29T21:47:42Z,developmentseed,zarr-datafusion-search,sharkinsspatial
52,Build rustac utility to load STAC queries into datafusion schema,Issue,closed,abarciauskas-bgse,https://github.com/developmentseed/zarr-datafusion-search/issues/52,2026-05-05T01:02:39Z,2026-05-14T14:25:46Z,developmentseed,zarr-datafusion-search,sharkinsspatial
104,Reading virtual references back out into VirtualiZarr Manifests,Issue,closed,TomNicholas,https://github.com/earth-mover/icechunk/issues/104,2024-09-25T18:05:22Z,2026-05-21T18:16:14Z,earth-mover,icechunk,maxrjones
997,Support basic and bearer auth for Http Storage,Issue,closed,mpiannucci,https://github.com/earth-mover/icechunk/issues/997,2025-06-17T13:11:53Z,2026-06-19T02:22:56Z,earth-mover,icechunk,maxrjones
1549,Way to fetch location of inlined chunk,Issue,closed,TomNicholas,https://github.com/earth-mover/icechunk/issues/1549,2026-01-09T20:28:11Z,2026-05-13T18:56:08Z,earth-mover,icechunk,maxrjones
96,[docs/bug] notebook link broken,Issue,closed,norlandrhagen,https://github.com/virtual-zarr/virtual-tiff/issues/96,2026-04-13T20:38:45Z,2026-04-29T21:37:15Z,virtual-zarr,virtual-tiff,maxrjones
21,url in example does not resolve,Issue,closed,d-v-b,https://github.com/zarr-conventions/multiscales/issues/21,2025-12-03T09:30:48Z,2026-06-12T19:48:51Z,zarr-conventions,multiscales,d-v-b
26,Require uuid in ZCM objects,PR,closed,maxrjones,https://github.com/zarr-conventions/multiscales/pull/26,2025-12-12T17:13:17Z,2026-05-03T17:46:42Z,zarr-conventions,multiscales,d-v-b
36,docs: update details for spatial and proj conventions,PR,closed,maxrjones,https://github.com/zarr-conventions/multiscales/pull/36,2026-06-11T00:39:13Z,2026-06-11T05:42:14Z,zarr-conventions,multiscales,d-v-b
37,chore: prepare for v0.1 release,PR,closed,maxrjones,https://github.com/zarr-conventions/multiscales/pull/37,2026-06-12T01:41:21Z,2026-06-12T13:01:15Z,zarr-conventions,multiscales,d-v-b
17,Add recommended reading/writing preference when multiple CRS representations are present,Issue,closed,emmanuelmathot,https://github.com/zarr-conventions/proj/issues/17,2026-03-18T13:52:32Z,2026-05-17T09:07:20Z,zarr-conventions,proj,d-v-b
19,Release not available,Issue,closed,pvanlaake,https://github.com/zarr-conventions/proj/issues/19,2026-04-22T15:14:19Z,2026-06-12T19:44:50Z,zarr-conventions,proj,maxrjones
20,Release v1,PR,closed,emmanuelmathot,https://github.com/zarr-conventions/proj/pull/20,2026-04-29T06:11:36Z,2026-06-12T19:41:21Z,zarr-conventions,proj,maxrjones
21,Add recommendations for CRS representation in proj: convention,PR,closed,emmanuelmathot,https://github.com/zarr-conventions/proj/pull/21,2026-04-29T06:29:58Z,2026-05-14T19:33:21Z,zarr-conventions,proj,maxrjones
22,Remove colon from convention name,PR,closed,emmanuelmathot,https://github.com/zarr-conventions/proj/pull/22,2026-05-13T21:42:13Z,2026-05-14T15:39:05Z,zarr-conventions,proj,maxrjones
10,Proper handling of the Z dimension,Issue,closed,maxrjones,https://github.com/zarr-conventions/spatial/issues/10,2026-04-03T01:43:48Z,2026-05-14T19:57:16Z,zarr-conventions,spatial,maxrjones
14,Readability improvements to README,PR,closed,kylebarron,https://github.com/zarr-conventions/spatial/pull/14,2026-04-07T14:18:32Z,2026-05-20T15:34:11Z,zarr-conventions,spatial,maxrjones
18,`spatial:transform`,Issue,closed,pvanlaake,https://github.com/zarr-conventions/spatial/issues/18,2026-04-12T18:12:06Z,2026-05-18T19:18:46Z,zarr-conventions,spatial,maxrjones
22,Make `dimension_names` mandatory at array level,Issue,closed,vincentsarago,https://github.com/zarr-conventions/spatial/issues/22,2026-05-13T10:10:58Z,2026-05-17T20:11:24Z,zarr-conventions,spatial,maxrjones
24,Restrict spatial: convention to 2D (X/Y) only,PR,closed,emmanuelmathot,https://github.com/zarr-conventions/spatial/pull/24,2026-05-13T20:33:53Z,2026-05-14T19:57:16Z,zarr-conventions,spatial,maxrjones
25,Refine spatial:dimensions: array-required + link dimension_names,PR,closed,emmanuelmathot,https://github.com/zarr-conventions/spatial/pull/25,2026-05-13T21:18:54Z,2026-05-18T08:00:07Z,zarr-conventions,spatial,maxrjones
26,Add FAQ: spatial: provides implicit coordinates,PR,closed,emmanuelmathot,https://github.com/zarr-conventions/spatial/pull/26,2026-05-13T21:29:25Z,2026-05-14T15:50:09Z,zarr-conventions,spatial,maxrjones
27,Drop trailing colon from convention name,PR,closed,emmanuelmathot,https://github.com/zarr-conventions/spatial/pull/27,2026-05-13T21:35:31Z,2026-05-14T15:39:49Z,zarr-conventions,spatial,maxrjones
28,Describe spatial:transform elements in coordinate space,PR,closed,pvanlaake,https://github.com/zarr-conventions/spatial/pull/28,2026-05-15T14:30:02Z,2026-05-18T19:18:45Z,zarr-conventions,spatial,maxrjones
29,Update URLs to proj convention,PR,closed,kylebarron,https://github.com/zarr-conventions/spatial/pull/29,2026-05-19T18:52:36Z,2026-06-05T19:48:58Z,zarr-conventions,spatial,maxrjones
34,`spatial:dimensions` is confusing.,Issue,closed,dcherian,https://github.com/zarr-conventions/spatial/issues/34,2026-06-02T22:52:37Z,2026-06-06T00:01:01Z,zarr-conventions,spatial,maxrjones
6,implementations: update GDAL to Full,PR,closed,wietzesuijker,https://github.com/zarr-developers/geozarr-site/pull/6,2026-03-06T02:57:23Z,2026-05-14T15:18:29Z,zarr-developers,geozarr-site,maxrjones
7,"""Edit this page on GitHub"" links result in 404s",Issue,closed,tylere,https://github.com/zarr-developers/geozarr-site/issues/7,2026-03-16T16:48:54Z,2026-05-14T15:23:46Z,zarr-developers,geozarr-site,maxrjones
10,implementations: expand compatibility matrix and add implementation details,PR,closed,emmanuelmathot,https://github.com/zarr-developers/geozarr-site/pull/10,2026-04-02T12:24:17Z,2026-05-14T15:17:29Z,zarr-developers,geozarr-site,maxrjones
11,Link to eopf data-model leads to 404,Issue,closed,felixcremer,https://github.com/zarr-developers/geozarr-site/issues/11,2026-04-20T08:03:49Z,2026-05-14T15:23:19Z,zarr-developers,geozarr-site,maxrjones
18,Add STAC-browser to implementations,Issue,closed,maxrjones,https://github.com/zarr-developers/geozarr-site/issues/18,2026-06-03T00:25:51Z,2026-06-11T20:54:14Z,zarr-developers,geozarr-site,maxrjones
19,Clarify meeting times,Issue,closed,felixcremer,https://github.com/zarr-developers/geozarr-site/issues/19,2026-06-11T06:50:52Z,2026-06-11T20:30:21Z,zarr-developers,geozarr-site,maxrjones
134,No downloadable GeoZarr sample found,Issue,closed,christophenoel,https://github.com/zarr-developers/geozarr-spec/issues/134,2026-04-28T09:24:53Z,2026-05-20T14:10:12Z,zarr-developers,geozarr-spec,maxrjones
141,Why is the GeoZarr spec needed at all if it's just referencing other conventions?,Issue,closed,maxrjones,https://github.com/zarr-developers/geozarr-spec/issues/141,2026-06-03T22:49:31Z,2026-06-05T23:41:04Z,zarr-developers,geozarr-spec,maxrjones
814,"Documentation cleanup: fix typos, grammar, and naming consistency",PR,closed,DimitriPapadopoulos,https://github.com/zarr-developers/numcodecs/pull/814,2026-02-08T10:13:06Z,2026-05-14T08:00:20Z,zarr-developers,numcodecs,d-v-b
817,update pcodec,PR,closed,mwlon,https://github.com/zarr-developers/numcodecs/pull/817,2026-02-12T12:41:24Z,2026-06-18T19:58:18Z,zarr-developers,numcodecs,d-v-b
838,Bump GitHub actions,PR,closed,DimitriPapadopoulos,https://github.com/zarr-developers/numcodecs/pull/838,2026-04-12T08:44:33Z,2026-06-19T13:19:50Z,zarr-developers,numcodecs,d-v-b
839,CI: Fix Meson mixup between Conda and system Python headers,PR,closed,DimitriPapadopoulos,https://github.com/zarr-developers/numcodecs/pull/839,2026-04-18T13:32:09Z,2026-05-14T07:48:37Z,zarr-developers,numcodecs,d-v-b
840,zarr-python does not depend on crc32c anymore,PR,closed,DimitriPapadopoulos,https://github.com/zarr-developers/numcodecs/pull/840,2026-04-18T15:39:34Z,2026-06-18T12:12:52Z,zarr-developers,numcodecs,d-v-b
167,Proposal: Migrate from Jekyll to VitePress,Issue,closed,maxrjones,https://github.com/zarr-developers/zarr-developers.github.io/issues/167,2026-02-24T02:39:57Z,2026-06-02T23:19:34Z,zarr-developers,zarr-developers.github.io,maxrjones
172,feat: redesign website,PR,closed,maxrjones,https://github.com/zarr-developers/zarr-developers.github.io/pull/172,2026-05-08T14:07:49Z,2026-05-08T16:24:34Z,zarr-developers,zarr-developers.github.io,d-v-b
173,add earthmover logo to adopters and datasets pages,PR,closed,jhamman,https://github.com/zarr-developers/zarr-developers.github.io/pull/173,2026-05-08T20:56:36Z,2026-05-11T15:55:48Z,zarr-developers,zarr-developers.github.io,maxrjones
18,numpy `S*` and `V*` dtypes,Issue,closed,d-v-b,https://github.com/zarr-developers/zarr-extensions/issues/18,2025-06-07T15:41:25Z,2026-05-16T11:08:26Z,zarr-developers,zarr-extensions,d-v-b
486,How to prevent Zarr from returning NaN for missing chunks?,Issue,closed,willirath,https://github.com/zarr-developers/zarr-python/issues/486,2019-10-19T11:52:54Z,2026-04-30T22:32:56Z,zarr-developers,zarr-python,d-v-b
514,Consider moving the tutorial to a Jupyter notebook,Issue,closed,jrbourbeau,https://github.com/zarr-developers/zarr-python/issues/514,2019-11-15T18:26:26Z,2026-06-16T23:57:58Z,zarr-developers,zarr-python,maxrjones
592,Support discarding chunks,Issue,closed,sbalmer,https://github.com/zarr-developers/zarr-python/issues/592,2020-08-28T12:53:41Z,2026-06-17T00:43:55Z,zarr-developers,zarr-python,maxrjones
857,ProcessSynchronizer not write safe,Issue,closed,oftfrfbf,https://github.com/zarr-developers/zarr-python/issues/857,2021-10-21T20:06:01Z,2026-06-17T00:33:54Z,zarr-developers,zarr-python,maxrjones
1118,Adding GitHub release publishing step (when tagging),Issue,closed,jakirkham,https://github.com/zarr-developers/zarr-python/issues/1118,2022-09-01T16:36:04Z,2026-05-13T13:45:26Z,zarr-developers,zarr-python,maxrjones
1232,Add Frequently Asked Question section( FAQ) to docs,Issue,closed,steph237,https://github.com/zarr-developers/zarr-python/issues/1232,2022-10-28T10:11:53Z,2026-06-16T23:59:30Z,zarr-developers,zarr-python,maxrjones
1245,Add example to docs of using memory-mapping,Issue,closed,jakirkham,https://github.com/zarr-developers/zarr-python/issues/1245,2022-11-02T20:04:46Z,2026-06-17T00:01:30Z,zarr-developers,zarr-python,maxrjones
1266,Release note workflow,Issue,closed,jakirkham,https://github.com/zarr-developers/zarr-python/issues/1266,2022-11-15T21:35:42Z,2026-05-13T13:19:32Z,zarr-developers,zarr-python,maxrjones
1595,Implement Variable Chunking (ZEP003) in V3,Issue,closed,jhamman,https://github.com/zarr-developers/zarr-python/issues/1595,2023-12-07T21:45:30Z,2026-06-25T23:59:50Z,zarr-developers,zarr-python,d-v-b
1752,[v3] Internal ChunkGrid API,Issue,closed,jhamman,https://github.com/zarr-developers/zarr-python/issues/1752,2024-04-05T17:42:05Z,2026-06-26T00:00:30Z,zarr-developers,zarr-python,maxrjones
2022,Fix indexing bug when reading past the first chunk in a shard,PR,closed,darsnack,https://github.com/zarr-developers/zarr-python/pull/2022,2024-07-10T12:58:43Z,2026-05-14T17:16:38Z,zarr-developers,zarr-python,d-v-b
2181,Explain why N5Store is being removed,Issue,closed,dstansby,https://github.com/zarr-developers/zarr-python/issues/2181,2024-09-13T13:10:40Z,2026-05-13T13:20:57Z,zarr-developers,zarr-python,d-v-b
2419,Review TODOs before v3?,Issue,closed,DimitriPapadopoulos,https://github.com/zarr-developers/zarr-python/issues/2419,2024-10-20T12:37:47Z,2026-05-13T13:46:33Z,zarr-developers,zarr-python,maxrjones
